CCLE_cell_line_names,GDSC_cell_line_names,CTRP_cell_line_names,Consensus_cell_line_names
NCIH1048_LUNG,NCI-H1048,,NCIH1048
NCIH1092_LUNG,NCI-H1092,NCIH1092,NCIH1092
NCIH1155_LUNG,NCI-H1155,NCIH1155,NCIH1155
NCIH1184_LUNG,,NCIH1184,NCIH1184
,NCI-H128,,NCIH128
NCIH1299_LUNG,NCI-H1299,NCIH1299,NCIH1299
,NCI-H1304,,NCIH1304
NCIH1339_LUNG,,NCIH1339,NCIH1339
NCIH1341_LUNG,,NCIH1341,NCIH1341
NCIH1355_LUNG,NCI-H1355,NCIH1355,NCIH1355
,NCI-H1395,NCIH1395,NCIH1395
NCIH1373_LUNG,,NCIH1373,NCIH1373
,NCI-H1417,,NCIH1417
,NCI-H1436,,NCIH1436
,NCI-H1437,,NCIH1437
,NCI-H1522,,NCIH1522
NCIH1563_LUNG,NCI-H1563,NCIH1563,NCIH1563
NCIH1568_LUNG,,NCIH1568,NCIH1568
NCIH1573_LUNG,NCI-H1573,NCIH1573,NCIH1573
NCIH1581_LUNG,NCI-H1581,NCIH1581,NCIH1581
,NCI-H1618,,NCIH1618
,NCI-H1623,NCIH1623,NCIH1623
NCIH1648_LUNG,NCI-H1648,,NCIH1648
NCIH1650_LUNG,NCI-H1650,NCIH1650,NCIH1650
NCIH1651_LUNG,NCI-H1651,NCIH1651,NCIH1651
NCIH1666_LUNG,NCI-H1666,NCIH1666,NCIH1666
NCIH1693_LUNG,NCI-H1693,NCIH1693,NCIH1693
NCIH1694_LUNG,NCI-H1694,NCIH1694,NCIH1694
NCIH1703_LUNG,NCI-H1703,NCIH1703,NCIH1703
,NCI-H1734,NCIH1734,NCIH1734
,NCI-H1755,NCIH1755,NCIH1755
,NCI-H1770,,NCIH1770
NCIH1792_LUNG,NCI-H1792,NCIH1792,NCIH1792
NCIH1793_LUNG,NCI-H1793,NCIH1793,NCIH1793
,NCI-H1838,NCIH1838,NCIH1838
,NCI-H187,,NCIH187
,NCI-H1963,,NCIH1963
NCIH1869_LUNG,,NCIH1869,NCIH1869
NCIH1915_LUNG,,NCIH1915,NCIH1915
NCIH1944_LUNG,,NCIH1944,NCIH1944
NCIH1975_LUNG,NCI-H1975,NCIH1975,NCIH1975
,NCI-H1993,,NCIH1993
NCIH2009_LUNG,NCI-H2009,NCIH2009,NCIH2009
NCIH2023_LUNG,,NCIH2023,NCIH2023
,NCI-H2029,NCIH2029,NCIH2029
NCIH2030_LUNG,NCI-H2030,NCIH2030,NCIH2030
NCIH2052_PLEURA,NCI-H2052,NCIH2052,NCIH2052
NCIH2085_LUNG,,NCIH2085,NCIH2085
,NCI-H2081,NCIH2081,NCIH2081
NCIH2087_LUNG,NCI-H2087,NCIH2087,NCIH2087
NCIH211_LUNG,,NCIH211,NCIH211
,NCI-H209,NCIH209,NCIH209
,NCI-H2107,,NCIH2107
NCIH2122_LUNG,NCI-H2122,NCIH2122,NCIH2122
,NCI-H2126,NCIH2126,NCIH2126
,NCI-H2141,NCIH2141,NCIH2141
NCIH2170_LUNG,NCI-H2170,NCIH2170,NCIH2170
,NCI-H2171,NCIH2171,NCIH2171
NCIH2172_LUNG,,NCIH2172,NCIH2172
,NCI-H2196,NCIH2196,NCIH2196
,NCI-H2227,,NCIH2227
NCIH2228_LUNG,NCI-H2228,NCIH2228,NCIH2228
NCIH226_LUNG,NCI-H226,NCIH226,NCIH226
NCIH2286_LUNG,,NCIH2286,NCIH2286
,NCI-H2291,NCIH2291,NCIH2291
NCIH23_LUNG,NCI-H23,NCIH23,NCIH23
NCIH2444_LUNG,,NCIH2444,NCIH2444
,NCI-H2342,NCIH2342,NCIH2342
,NCI-H2347,,NCIH2347
,NCI-H2405,NCIH2405,NCIH2405
NCIH2452_PLEURA,NCI-H2452,NCIH2452,NCIH2452
,NCI-H250,,NCIH250
NCIH28_PLEURA,NCI-H28,NCIH28,NCIH28
NCIH322_LUNG,,NCIH322,NCIH322
NCIH3255_LUNG,,,NCIH3255
,NCI-H292,,NCIH292
,NCI-H322M,,NCIH322M
,NCI-H345,,NCIH345
NCIH358_LUNG,NCI-H358,NCIH358,NCIH358
,NCI-H378,,NCIH378
NCIH441_LUNG,NCI-H441,NCIH441,NCIH441
,NCI-H446,NCIH446,NCIH446
NCIH460_LUNG,NCI-H460,NCIH460,NCIH460
,NCI-H510A,NCIH510,NCIH510
NCIH520_LUNG,NCI-H520,NCIH520,NCIH520
NCIH522_LUNG,NCI-H522,NCIH522,NCIH522
NCIH647_LUNG,,NCIH647,NCIH647
,NCI-H524,NCIH524,NCIH524
,NCI-H526,NCIH526,NCIH526
,NCI-H596,,NCIH596
,NCI-H630,,NCIH630
,NCI-H64,,NCIH64
NCIH650_LUNG,NCI-H650,NCIH650,NCIH650
NCIH661_LUNG,NCI-H661,NCIH661,NCIH661
,NCI-H69,NCIH69,NCIH69
,NCI-H716,NCIH716,NCIH716
,NCI-H719,,NCIH719
,NCI-H720,,NCIH720
NCIH727_LUNG,NCI-H727,NCIH727,NCIH727
NCIH747_LARGE_INTESTINE,NCI-H747,NCIH747,NCIH747
,NCI-H748,,NCIH748
NCIH810_LUNG,NCI-H810,NCIH810,NCIH810
,NCI-H82,,NCIH82
,NCI-H838,NCIH838,NCIH838
NCIN87_STOMACH,NCI-N87,NCIN87,NCIN87
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,NCO2,NCO2
NIHOVCAR3_OVARY,OVCAR-3,,OVCAR3
,NCI-SNU-1,,NCISNU1
,NCI-SNU-16,,NCISNU16
,NCI-SNU-5,,NCISNU5
,NEC8,,NEC8
,NH-12,,NH12
,NKM-1,,NKM1
,NMC-G1,NMCG1,NMCG1
,no-10,,no10
,no-11,,no11
,NOMO-1,NOMO1,NOMO1
,NOS-1,,NOS1
,NTERA-S-cl-D1,,NTERASclD1
NUGC3_STOMACH,NUGC-3,NUGC3,NUGC3
NUGC4_STOMACH,,NUGC4,NUGC4
,NY,,NY
,OAW-28,OAW28,OAW28
,OAW-42,OAW42,OAW42
OC314_OVARY,OC-314,OC314,OC314
OC315_OVARY,,,OC315
OC316_OVARY,,,OC316
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-AML2,OCIAML2,OCIAML2
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,OCIAML5,OCIAML5
OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,OCILY10,OCILY10
OCUM1_STOMACH,,OCUM1,OCUM1
,OCUB-M,,OCUBM
OE21_OESOPHAGUS,,OE21,OE21
,OE19,OE19,OE19
OE33_OESOPHAGUS,OE33,OE33,OE33
ONCODG1_OVARY,,ONCODG1,ONCODG1
,OMC-1,,OMC1
ONS76_CENTRAL_NERVOUS_SYSTEM,ONS-76,ONS76,ONS76
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OPM-2,OPM2,OPM2
OV90_OVARY,,OV90,OV90
,OS-RC-2,,OSRC2
OVCAR4_OVARY,OVCAR-4,OVCAR4,OVCAR4
,OVCAR-5,OVCAR5,OVCAR5
OVCAR8_OVARY,OVCAR-8,OVCAR8,OVCAR8
OVMANA_OVARY,,,OVMANA
OVSAHO_OVARY,,OVSAHO,OVSAHO
OVTOKO_OVARY,,OVTOKO,OVTOKO
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P12-ICHIKAWA,P12ICHIKAWA,P12ICHIKAWA
,P30-OHK,,P30OHK
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31-FUJ,P31FUJ,P31FUJ
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,P3HR1,P3HR1
PANC0203_PANCREAS,,PANC0203,PANC0203
,PA-1,,PA1
PANC0327_PANCREAS,PANC-03-27,PANC0327,PANC0327
,PANC-08-13,PANC0813,PANC0813
PANC0403_PANCREAS,,PANC0403,PANC0403
PANC1005_PANCREAS,PANC-10-05,PANC1005,PANC1005
PATU8902_PANCREAS,,PATU8902,PATU8902
PC14_LUNG,PC-14,PC14,PC14
PC3_PROSTATE,PC-3,PC3,PC3
,PF-382,PF382,PF382
,PFSK-1,,PFSK1
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,PFEIFFER,PFEIFFER
PK1_PANCREAS,,PK1,PK1
PK45H_PANCREAS,,PK45H,PK45H
PK59_PANCREAS,,PK59,PK59
PL45_PANCREAS,,,PL45
PLCPRF5_LIVER,PLC-PRF-5,PLCPRF5,PLCPRF5
PSN1_PANCREAS,PSN1,PSN1,PSN1
QGP1_PANCREAS,,QGP1,QGP1
,QIMR-WIL,,QIMRWIL
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Raji,RAJI,RAJI
,Ramos-2G6-4C10,,Ramos2G64C10
,RCC10RGB,RCC10RGB,RCC10RGB
,RCM-1,RCM1,RCM1
RD_SOFT_TISSUE,RD,RD,RD
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,REH,REH,REH
RERFGC1B_STOMACH,,,RERFGC1B
RERFLCAI_LUNG,,RERFLCAI,RERFLCAI
RERFLCMS_LUNG,RERF-LC-MS,RERFLCMS,RERFLCMS
RKN_OVARY,,RKN,RKN
,RH-1,,RH1
,RH-18,RH18,RH18
RKO_LARGE_INTESTINE,RKO,RKO,RKO
,RL,RL,RL
RL952_ENDOMETRIUM,RL95-2,RL952,RL952
,RMG-I,RMGI,RMGI
,RO82-W-1,,RO82W1
,RPMI-2650,,RPMI2650
,RPMI-6666,RPMI6666,RPMI6666
RPMI7951_SKIN,RPMI-7951,RPMI7951,RPMI7951
,RPMI-8226,RPMI8226,RPMI8226
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RPMI-8402,RPMI8402,RPMI8402
,RPMI-8866,,RPMI8866
,RS4-11,RS411,RS411
RT112_URINARY_TRACT,RT-112,RT112,RT112
RT4_URINARY_TRACT,RT4,RT4,RT4
RVH421_SKIN,RVH-421,RVH421,RVH421
,RXF393,,RXF393
,S-117,,S117
SAOS2_BONE,Saos-2,SAOS2,SAOS2
,SAS,,SAS
,SBC-1,,SBC1
SBC5_LUNG,SBC-5,SBC5,SBC5
SCABER_URINARY_TRACT,,SCABER,SCABER
,SCC-15,,SCC15
SCC25_UPPER_AERODIGESTIVE_TRACT,SCC-25,SCC25,SCC25
,SCC-3,,SCC3
,SCC-4,SCC4,SCC4
SCC9_UPPER_AERODIGESTIVE_TRACT,SCC-9,SCC9,SCC9
,SCH,,SCH
,SCLC-21H,SCLC21H,SCLC21H
SF126_CENTRAL_NERVOUS_SYSTEM,SF126,SF126,SF126
,SF268,SF268,SF268
SF295_CENTRAL_NERVOUS_SYSTEM,SF295,SF295,SF295
SF8657,,,SF8657
SH10TC_STOMACH,,SH10TC,SH10TC
,SF539,SF539,SF539
,SH-4,SH4,SH4
SHP77_LUNG,SHP-77,SHP77,SHP77
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SIG-M5,SIGM5,SIGM5
,SiHa,,SiHa
SIMA_AUTONOMIC_GANGLIA,SIMA,SIMA,SIMA
SJRH30_SOFT_TISSUE,SJRH30,,SJRH30
SJSA1_BONE,SJSA-1,SJSA1,SJSA1
SKBR3_BREAST,,SKBR3,SKBR3
SKCO1_LARGE_INTESTINE,SK-CO-1,SKCO1,SKCO1
SKES1_BONE,,SKES1,SKES1
SKHEP1_LIVER,SK-HEP-1,SKHEP1,SKHEP1
SKLMS1_SOFT_TISSUE,SK-LMS-1,SKLMS1,SKLMS1
SKLU1_LUNG,SK-LU-1,SKLU1,SKLU1
,SK-MEL-1,SKMEL1,SKMEL1
SKMEL2_SKIN,SK-MEL-2,SKMEL2,SKMEL2
SKMEL24_SKIN,SK-MEL-24,SKMEL24,SKMEL24
,SK-MEL-28,SKMEL28,SKMEL28
,SK-MEL-3,SKMEL3,SKMEL3
SKMEL30_SKIN,SK-MEL-30,SKMEL30,SKMEL30
SKMEL31_SKIN,,SKMEL31,SKMEL31
SKMEL5_SKIN,SK-MEL-5,SKMEL5,SKMEL5
SKMES1_LUNG,SK-MES-1,SKMES1,SKMES1
,SK-MG-1,,SKMG1
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SK-MM-2,SKMM2,SKMM2
SKNAS_AUTONOMIC_GANGLIA,SK-N-AS,SKNAS,SKNAS
SKNBE2_AUTONOMIC_GANGLIA,,SKNBE2,SKNBE2
SKNDZ_AUTONOMIC_GANGLIA,SK-N-DZ,SKNDZ,SKNDZ
SKNFI_AUTONOMIC_GANGLIA,SK-N-FI,SKNFI,SKNFI
SKNSH_AUTONOMIC_GANGLIA,,SKNSH,SKNSH
,SK-NEP-1,,SKNEP1
SKOV3_OVARY,SK-OV-3,SKOV3,SKOV3
,SK-PN-DW,,SKPNDW
,SK-UT-1,SKUT1,SKUT1
,SKG-IIIa,,SKGIIIa
,SKM-1,,SKM1
,SN12C,,SN12C
,SNB75,SNB75,SNB75
SNGM_ENDOMETRIUM,SNG-M,SNGM,SNGM
SNU1_STOMACH,,SNU1,SNU1
SNU16_STOMACH,,SNU16,SNU16
SNU182_LIVER,,SNU182,SNU182
SNU387_LIVER,SNU-387,SNU387,SNU387
SNU398_LIVER,,SNU398,SNU398
SNU423_LIVER,SNU-423,SNU423,SNU423
SNU449_LIVER,SNU-449,SNU449,SNU449
SNU475_LIVER,SNU-475,SNU475,SNU475
,SNU-C1,SNUC1,SNUC1
SNUC2A_LARGE_INTESTINE,,SNUC2A,SNUC2A
SNUC2B,SNU-C2B,,SNUC2B
SQ1_LUNG,,SQ1,SQ1
SU8686_PANCREAS,,SU8686,SU8686
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,SUDHL10,SUDHL10
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,SUDHL4,SUDHL4
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,SUDHL6,SUDHL6
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,SUDHL8,SUDHL8
SUIT2_PANCREAS,,SUIT2,SUIT2
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,SUPM2,SUPM2
,SR,,SR
,ST486,ST486,ST486
,SU-DHL-1,SUDHL1,SUDHL1
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUP-T1,SUPT1,SUPT1
SW1088_CENTRAL_NERVOUS_SYSTEM,SW1088,SW1088,SW1088
SW1271_LUNG,,SW1271,SW1271
SW1353_BONE,,SW1353,SW1353
,SW1116,SW1116,SW1116
,SW13,,SW13
SW1417_LARGE_INTESTINE,SW1417,SW1417,SW1417
,SW1463,SW1463,SW1463
SW1573_LUNG,SW1573,SW1573,SW1573
,SW1710,SW1710,SW1710
,SW1783,SW1783,SW1783
SW1990_PANCREAS,SW1990,SW1990,SW1990
SW403_LARGE_INTESTINE,,,SW403
SW48_LARGE_INTESTINE,SW48,SW48,SW48
SW480_LARGE_INTESTINE,,,SW480
SW579_THYROID,,SW579,SW579
SW620_LARGE_INTESTINE,SW620,SW620,SW620
,SW626,,SW626
,SW684,,SW684
,SW756,,SW756
SW780_URINARY_TRACT,SW780,,SW780
,SW837,,SW837
,SW872,,SW872
SW900_LUNG,SW900,,SW900
,SW948,SW948,SW948
,SW954,,SW954
,SW962,,SW962
,SW982,SW982,SW982
T24_URINARY_TRACT,T-24,T24,T24
T3M10_LUNG,,T3M10,T3M10
T47D_BREAST,T47D,T47D,T47D
T84_LARGE_INTESTINE,T84,T84,T84
T98G_CENTRAL_NERVOUS_SYSTEM,T98G,T98G,T98G
,TALL-1,TALL1,TALL1
,TC-YIK,,TCYIK
TC71_BONE,,TC71,TC71
TCCSUP_URINARY_TRACT,TCCSUP,TCCSUP,TCCSUP
TE1_OESOPHAGUS,TE-1,TE1,TE1
,TE-10,TE10,TE10
TE11_OESOPHAGUS,TE-11,TE11,TE11
,TE-12,,TE12
TE15_OESOPHAGUS,TE-15,TE15,TE15
,TE-441-T,TE441T,TE441T
TE5_OESOPHAGUS,TE-5,TE5,TE5
TE617T_SOFT_TISSUE,,TE617T,TE617T
,TE-6,TE6,TE6
,TE-8,TE8,TE8
TE9_OESOPHAGUS,TE-9,TE9,TE9
TEN_ENDOMETRIUM,,,TEN
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,TOLEDO,TOLEDO
TOV112D_OVARY,,TOV112D,TOV112D
TOV21G_OVARY,,TOV21G,TOV21G
,TGBC11TKB,,TGBC11TKB
,TGBC1TKB,,TGBC1TKB
,TGBC24TKB,,TGBC24TKB
,TGW,,TGW
,THP-1,THP1,THP1
,TI-73,,TI73
,TK10,,TK10
,TT,TTTHYROID,TTTHYROID
,TUR,,TUR
TYKNU_OVARY,TYK-nu,TYKNU,TYKNU
U118MG_CENTRAL_NERVOUS_SYSTEM,U-118-MG,U118MG,U118MG
U2OS_BONE,U-2-OS,U2OS,U2OS
,U-266,U266B1,U266B1
,U-698-M,,U698M
U87MG_CENTRAL_NERVOUS_SYSTEM,U-87-MG,U87MG,U87MG
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,U937,U937
,U031,UO31,UO31
,U251,,U251
UACC257_SKIN,UACC-257,UACC257,UACC257
UACC62_SKIN,UACC-62,UACC62,UACC62
UACC812_BREAST,UACC-812,UACC812,UACC812
,UACC-893,,UACC893
UMUC3_URINARY_TRACT,UM-UC-3,UMUC3,UMUC3
,UMC-11,,UMC11
,VA-ES-BJ,,VAESBJ
,VM-CUB-1,VMCUB1,VMCUB1
VMRCLCD_LUNG,,VMRCLCD,VMRCLCD
VMRCRCW_KIDNEY,,VMRCRCW,VMRCRCW
VMRCRCZ_KIDNEY,VMRC-RCZ,VMRCRCZ,VMRCRCZ
WM115_SKIN,WM-115,WM115,WM115
WM1799_SKIN,,WM1799,WM1799
WM2664_SKIN,,WM2664,WM2664
WM793_SKIN,,WM793,WM793
WM88_SKIN,,WM88,WM88
WM983B_SKIN,,WM983B,WM983B
,WSU-NHL,,WSUNHL
,YAPC,YAPC,YAPC
,YH-13,YH13,YH13
YKG1_CENTRAL_NERVOUS_SYSTEM,YKG-1,YKG1,YKG1
,YT,,YT
ZR751_BREAST,,ZR751,ZR751
ZR7530_BREAST,ZR-75-30,ZR7530,ZR7530
,,2004,2004
,,253J,253J
,,253JBV,253JBV
,,ACCMESO1,ACCMESO1
,,AML193,AML193
,,ASKA,ASKA
,,BC3C,BC3C
,,BCP1,BCP1
,,BICR16,BICR16
,,BICR18,BICR18
,,BICR22,BICR22
,,BICR31,BICR31
,,BICR56,BICR56
,,BICR6,BICR6
,,BT112,BT112
,,BT12,BT12
,,BT131,BT131
,,BT139,BT139
,,BT145,BT145
,,BT147,BT147
,,BT159,BT159
,,BT16,BT16
,,BT164,BT164
,,BT172,BT172
,,BT179,BT179
,,BT187,BT187
,,BT216,BT216
,,BT224,BT224
,,BT228,BT228
,,BT231,BT231
,,BT232,BT232
,,BT239,BT239
,,BT245,BT245
,,BT248,BT248
,,BT271,BT271
,,BT286,BT286
,,BT320,BT320
,,BT328,BT328
,,BT330,BT330
,,BT333,BT333
,,BT340,BT340
,,BT359,BT359
,,BT416,BT416
,,BT422,BT422
,,BT428,BT428
,,BT440,BT440
,,BT444,BT444
,,BT482,BT482
,,BT498,BT498
,,BT504,BT504
,,CADOES1,CADOES1
,,CAL29,CAL29
,,CJM,CJM
,,CL11,CL11
,,CL34,CL34
,,CMLT1,CMLT1
,,CORL47,CORL47
,,CORL51,CORL51
,,CORL95,CORL95
,,COV362,COV362
,,COV434,COV434
,,COV644,COV644
,,DANG,DANG
,,DLD1,DLD1
,,DMS454,DMS454
,,DND41,DND41
,,EFM192A,EFM192A
,,EJM,EJM
,,FTC238,FTC238
,,G292CLONEA141B1,G292CLONEA141B1
,,GA10,GA10
,,GOS3,GOS3
,,GP2D,GP2D
,,GSS,GSS
,,GSU,GSU
,,H292,H292
,,HCC1171,HCC1171
,,HCC1195,HCC1195
,,HCC1428,HCC1428
,,HCC1438,HCC1438
,,HCC1500,HCC1500
,,HCC1588,HCC1588
,,HCC1833,HCC1833
,,HCC202,HCC202
,,HCC2108,HCC2108
,,HCC2279,HCC2279
,,HCC33,HCC33
,,HCC366,HCC366
,,HCC95,HCC95
,,HCT8,HCT8
,,HEC108,HEC108
,,HEC50B,HEC50B
,,HELA,HELA
,,HPBALL,HPBALL
,,HS578BST,HS578BST
,,HS611T,HS611T
,,HS688AT,HS688AT
,,HS822T,HS822T
,,HS839T,HS839T
,,HS888LU,HS888LU
,,HS888T,HS888T
,,HS934T,HS934T
,,HS940T,HS940T
,,HSTS,HSTS
,,HT115,HT115
,,HUG1N,HUG1N
,,HUH28,HUH28
,,HUH6,HUH6
,,HUNS1,HUNS1
,,JEKO1,JEKO1
,,JHH1,JHH1
,,JHOC5,JHOC5
,,JHOM1,JHOM1
,,JHUEM1,JHUEM1
,,JHUEM3,JHUEM3
,,JHUEM7,JHUEM7
,,JIMT1,JIMT1
,,JJN3,JJN3
,,JK1,JK1
,,JL1,JL1
,,JURLMK1,JURLMK1
,,KASUMI1,KASUMI1
,,KATOIII,KATOIII
,,KG1C,KG1C
,,KIJK,KIJK
,,KM12,KM12
,,KMH2,KMH2
,,KMRC20,KMRC20
,,KMRC3,KMRC3
,,KMS18,KMS18
,,KMS20,KMS20
,,KMS21BM,KMS21BM
,,KMS27,KMS27
,,KMS28BM,KMS28BM
,,KPL1,KPL1
,,KRIJ,KRIJ
,,KYO1,KYO1
,,L1236,L1236
,,LI7,LI7
,,LMSU,LMSU
,,LS180,LS180
,,M059K,M059K
,,M07E,M07E
,,MDST8,MDST8
,,ME1,ME1
,,MHHCALL3,MHHCALL3
,,MHHCALL4,MHHCALL4
,,ML1,ML1
,,MM1S,MM1S
,,MOLM13,MOLM13
,,MOLM16,MOLM16
,,MOLM6,MOLM6
,,MOLP2,MOLP2
,,MOLP8,MOLP8
,,MOLT3,MOLT3
,,MOTN1,MOTN1
,,NAMALWA,NAMALWA
,,NB4,NB4
,,NCCSTCK140,NCCSTCK140
,,NCIH1105,NCIH1105
,,NCIH1385,NCIH1385
,,NCIH1435,NCIH1435
,,NCIH146,NCIH146
,,NCIH196,NCIH196
,,NCIH2106,NCIH2106
,,NCIH2110,NCIH2110
,,NCIH508,NCIH508
,,NCIH660,NCIH660
,,NCIH841,NCIH841
,,NCIH889,NCIH889
,,NCIH929,NCIH929
,,NH6,NH6
,,NUDHL1,NUDHL1
,,NUDUL1,NUDUL1
,,OCIAML3,OCIAML3
,,OCILY19,OCILY19
,,OCILY3,OCILY3
,,OCIM1,OCIM1
,,OSRC2,OSRC2
,,OUMS23,OUMS23
,,OV56,OV56
,,OV7,OV7
,,OVISE,OVISE
,,OVK18,OVK18
,,PANC0504,PANC0504
,,PANC1,PANC1
,,PATU8988S,PATU8988S
,,PATU8988T,PATU8988T
,,PECAPJ15,PECAPJ15
,,PECAPJ34CLONEC12,PECAPJ34CLONEC12
,,PECAPJ41CLONED2,PECAPJ41CLONED2
,,PECAPJ49,PECAPJ49
,,PEER,PEER
,,PL21,PL21
,,PSTS,PSTS
,,RCHACV,RCHACV
,,RDES,RDES
,,REC1,REC1
,,RERFLCAD1,RERFLCAD1
,,RERFLCAD2,RERFLCAD2
,,RH30,RH30
,,RH41,RH41
,,RI1,RI1
,,SEM,SEM
,,SET2,SET2
,,SKM1,SKM1
,,SKNMC,SKNMC
,,SNU1033,SNU1033
,,SNU1041,SNU1041
,,SNU1066,SNU1066
,,SNU1076,SNU1076
,,SNU1077,SNU1077
,,SNU1079,SNU1079
,,SNU1105,SNU1105
,,SNU119,SNU119
,,SNU1196,SNU1196
,,SNU1214,SNU1214
,,SNU1272,SNU1272
,,SNU175,SNU175
,,SNU201,SNU201
,,SNU213,SNU213
,,SNU216,SNU216
,,SNU245,SNU245
,,SNU308,SNU308
,,SNU407,SNU407
,,SNU410,SNU410
,,SNU46,SNU46
,,SNU466,SNU466
,,SNU478,SNU478
,,SNU489,SNU489
,,SNU5,SNU5
,,SNU503,SNU503
,,SNU601,SNU601
,,SNU61,SNU61
,,SNU620,SNU620
,,SNU626,SNU626
,,SNU668,SNU668
,,SNU685,SNU685
,,SNU719,SNU719
,,SNU738,SNU738
,,SNU761,SNU761
,,SNU8,SNU8
,,SNU81,SNU81
,,SNU840,SNU840
,,SNU869,SNU869
,,SNU878,SNU878
,,SNU886,SNU886
,,SNU899,SNU899
,,SNUC4,SNUC4
,,SNUC5,SNUC5
,,SR786,SR786
,,SUPB15,SUPB15
,,SUPHD1,SUPHD1
,,SUPT11,SUPT11
,,SYO1,SYO1
,,TCCPAN2,TCCPAN2
,,TE14,TE14
,,TE4,TE4
,,TF1,TF1
,,TM31,TM31
,,TM87-16,TM8716
,,TTC709,TTC709
,,TUHR10TKB,TUHR10TKB
,,TUHR14TKB,TUHR14TKB
,,TUHR4TKB,TUHR4TKB
,,U251MG,U251MG
,,UBLC1,UBLC1
,,U-CH1,UCH1
,,UMUC1,UMUC1
,,VCAP,VCAP
,,WSUDLCL2,WSUDLCL2
,,YAMATO,YAMATO
,,YD10B,YD10B
,,YD15,YD15
,,YD38,YD38
,,YD8,YD8